a,ある
affranchise,アフランチャイズ
affranchisement,フランチャイズ化
affray,ひどい
affrayment,不和
affricate,破擦音
affrication,擦過傷
affriction,苦痛
affright,恐ろしい
affrightment,憤慨
affront,侮辱
affronted,侮辱された
affronterai,侮辱的な
affuse,虐待する
affusion,注入
afghan,アフガニスタン語
afghani,アフガニスタン
afghanistan,アフガニスタン
afibrinogenemia,無フィブリノゲン血症
afield,遠くの
afire,火災
aflak,アフラック
aflare,フレア
afloat,浮かんでいる
aflutter,はためく
afoot,歩いています
afore,前に
aforehand,前もって
aforementioned,前述の
aforenamed,前述の
aforesaid,前述の
aforethought,事前に考えた
afoul,ひどい
afraid,恐れている
aframomum,アフラモマム
afreet,怨魂
afresh,改めて
afric,アフリカの
africa,アフリカ
african,アフリカ人
africander,アフリカンダー
afrikaans,アフリカーンス語
afrikaner,アフリカーナ人
afro,アフロ
afroasiatic,アフリカ系
afrocarpus,アフロカルパス
afropavo,アフロパボ
aft,後部
after,後
afterage,アフター
afterbirth,後産
afterburden,後負担
afterburner,アフターバーナー
aftercare,アフターケア
afterclap,後拍手
aftercome,その後
aftercourse,アフターコース
aftercrop,後作物
afterdamp,湿気の後
afterdeck,アフターデッキ
afterdinner,夕食後
aftereffect,後遺症
aftergame,アフターゲーム
afterglow,残光
aftergrowth,残芽
afterimage,残像
afterlife,死後の世界
aftermath,余波
aftermost,その後
afternoon,午後
afterpains,後痛
afterpart,後編
afterpiece,アフターピース
aftershaft,アフターシャフト
aftershafted,アフターシャフト付き
aftershock,余震
aftertaste,後味
afterthought,結果論
afterwards,その後
afterworld,あの世
aga,ああ
agacerie,薬局
again,また
agains,またまた
against,に対して
agalactia,アガラクティア
agalloch,アガロック
agallochium,アガロキウム
agama,アガマ
agamemnon,アガメムノン
agamic,アガミック
agamid,アガミド
agamidae,アガミダエ
agamist,アガミスト
agammaglobulinemia,無ガンマグロブリン血症
agapanthus,アガパンサス
agape,アガペー
agapemone,アガペモネ
agapornis,アガポルニス
agar,寒天
agaric,ベニテングタケ
agaricaceae,ハラタケ科
agaricales,ハラタケ目
agaricus,アガリクス
agas,薬
agastache,ガス痛
agate,瑪瑙
agateware,瑪瑙
agathis,アガチス
agavaceae,リュウゼツラン科
agave,また
agaze,彼は拡大しました
agdistis,アグディスティス
age,年
aged,老人
agedness,老化
ageism,年齢差別
agelaius,アゲライウス
ageless,不老不死
agelessness,不老不死
agelong,長年の
agency,代理店
agenda,彼が行く
agendum,議題
agenesis,アジェネシス
agent,エージェント
agential,代理店
agentive,代理人
agents,エージェント
agentship,代理店
agerasia,アゲラシア
ageratina,アゲラチン
ageratum,アゲラタム
ages,年齢
agglomerate,凝集した
agglomeration,凝集
agglutinate,凝集する
agglutination,凝集
agglutinative,凝集性の
agglutinin,凝集素
agglutinogen,凝集原
aggrandize,拡大する
aggrandizement,拡大
aggravable,ひどい
aggravate,悪化させる
aggravated,悪化した
aggravating,悪化させる
aggravatingly,悪化的に
aggravation,悪化
aggregate,集計
aggregation,集計
aggression,侵略
aggressive,攻撃的
aggressively,積極的に
aggressiveness,攻撃性
aggressor,侵略者
aggrieve,悲しむ
aggrieved,傷ついた
aggro,アグロ
aggroup,グループ
aghan,アガーン
aghast,びっくりした
agianst,巨人
agile,建てられた
agilely,機敏に
agility,機敏
agincourt,ジンコート
aging,エージング
agio,アギオ
agiotage,興奮症
agir,アジール
agis,アジス
agitate,かき混ぜる
agitated,興奮した
agitation,攪拌
agitative,興奮性の
agitator,撹拌者
agitur,アジトゥール
agjus,アジュス
agkistrodon,彼らはキストロドンです
aglaomorpha,アグラオモルファ
aglaonema,アグラオネマ
agleam,輝く
aglet,アグレット
aglow,光る
agnate,雌雄異体
agnatha,無顎症
agnation,老化
agni,アグニ
agnition,点火
agnize,アグニズする
agnomen,アグノメン
agnosia,失認症
agnostic,不可知論的な
agnosticism,不可知論
agnus,アグナス
ago,前
agog,アゴグ
agoing,続いている
agonadal,性腺
agonal,苦々しい
agonidae,アゴ科
agonies,苦しみ
agonism,苦悩
agonist,アゴニスト
agonistic,苦悩的な
agonize,苦しんだ
agonized,苦しんだ
agonizing,苦しい
agonizingly,苦痛に
agonus,悶絶
agony,苦しみ
agora,アゴラ
agoraphobia,広場恐怖症
agoraphobic,広場恐怖症
agostadero,アゴスタデロ
agouti,アグーチ
agranulocytic,無顆粒球性
agranulocytosis,無顆粒球症
agrapha,アグラファ
agraphia,アグラフィア
agraphic,グラフィック
agrarian,農業者
agree,同意する
agreeable,同意できる
agreeableness,共感性
agreeably,同意的に
agreed,同意した
agreeing,同意する
agreement,合意
agrescit,アグレシット
agrestic,アグレッシブな
agribusiness,アグリビジネス
agricultor,農家
agricultural,農業用
agriculture,農業
agriculturist,農業家
agrimonia,共感性
agriocharis,アグリオカリス
agrippa,アグリッパ
agrobacterium,アグロバクテリウム
agrobiologic,アグロバイオロジック
agrobiology,農業生物学
agrologic,農業
agrology,農学
agromania,農業マニア
agronomic,農学的な
agronomist,農学者
agronomy,農学
agropyron,アグロピロン
agrostemma,アグロステンマ
agrostis,アグロスティス
aground,座礁
agrypnia,無痛症
agrypnotic,不覚性の
agua,水
aguardiente,保護者
ague,苦悩する
aguets,アグエ
agueweed,アグエウィード
aguish,苦しむ
agural,聴覚的な
agurial,アグリアル
ah,ああ
aha,ああ
ahab,エイハブ
ahariolation,アリオレーション
ahead,先に
ahorse,馬
ahriman,アーリマン
ahuehuete,アウエウエテ
ahura,彼は誓う
aid,援助
aidance,援助
aide,補佐官
aidedecamp,補助キャンプ
aidetoi,あいだとい
aiding,援助する
aidless,無力な
aids,エイズ
aigrette,エグレット
aiguille,エギーユ
aigulet,エギュレット
aikido,合気道
ail,大丈夫
ailanthus,エイランサス
aile,エール
aileron,エルロン
ailing,病気の
ailment,病気
ailurophobia,麻痺恐怖症
ailuropoda,足足動物
ailuropodidae,アルロポディ科
ailurus,アイルラス
aim,標的
aimer,狙い目
aimless,目的のない
aimlessly,あてもなく
aimlessness,無目的さ
aingenium,アインゲニウム
aioli,アイオリ
air,空気
airborne,空中
airbrake,エアブレーキ
airbrush,エアブラシ
airbubble,気泡
airbuilt,エアビルト
airbus,エアバス
aircraft,航空機
aircraftsman,飛行機へ
aircrew,航空乗組員
aircrewman,飛行機乗務員
airdock,エアドック
aire,空気
aired,放送された
airedale,エアデール
airfield,飛行場
airflow,気流
airfoil,翼型
airframe,機体
airheaded,気の抜けた
airhole,風穴
airiness,風通しの良さ
airing,放送中
airless,エアレス
airlift,空輸
airline,航空会社
airliner,旅客機
airlock,エアロック
airmail,航空便
airman,飛行士
airmanship,航空術
airpipe,気管
airplane,飛行機
airport,空港
airs,空気
airship,飛行船
airsick,飛行機酔い
airspace,空域
airspeed,対気速度
airstream,エアストリーム
airstrip,滑走路
airtight,気密性の高い
airwind,空気風
airworthiness,耐空性
airworthy,耐空性のある
airy,風通しの良い
aise,会瀬
aisle,通路
ait,ちょっと待って
aitch,イチ
aitchbone,イチボ
aiunt,叔母さん
aix,エックス
aizoaceae,アイゾウ科
ajaia,アジャイア
ajar,半開き
ajax,アヤックス
ajee,殺された
ajuga,私は遊ぶ
ajutage,裁定
akan,あかん
akaryocyte,赤核細胞
akee,アキー
akeridae,アケダ科
akimbo,腰を当てている
akin,同族の
akinesis,無動
akkadian,アッカド語
akron,アクロン
akwa'ala,アクワアラ
al,アル
ala,ああ
alabama,アラバマ州
alabaman,賞賛に
alabaster,アラバスター
alack,不足
alacran,サソリ
alacritous,うるさい
alacrity,アラクリティ
alacritywant,機敏に
aladdin,アラジン
alalia,アラリア
alameda,アラメダ
alamo,警報
alanine,アラニン
alar,鼻翼
alarm,警報
alarmed,警戒した
alarming,憂慮すべき
alarmingly,驚くほど
alarmism,警戒心
alarmist,警戒主義者
alarum,アラーム
alas,翼
alaska,アラスカ
alaskan,アラスカン
alate,アラテ
alated,興奮した
alauda,アローダ
alaudidae,アウディ科
alaw,法律
alb,アルブ
alba,夜明け
albacore,ビンナガ
albania,アルバニア
albanian,アルバニア人
albany,アルバニー
albata,アルバタ
albatrellus,アルバトレルス
albatross,アルバトロス
albedo,アルベド
albeit,とはいえ
alberca,アルバーカ
albert,アルバート
alberta,アルバータ州
albetur,アルベトゥール
albification,アルビフィケーション
albinal,アルビナル
albinism,白皮症
albino,アルビノ
albite,曹長石
albitic,藻類の
albizzia,ネムノキ
albuca,アルブカ
albuginaceae,アルブギナ科
albugo,アルブゴ
albula,アルブラ
albulidae,アルブリ科
album,アルバム
albumen,卵白
albumin,アルブミン
albuminous,タンパク性の
albuminuria,アルブミン尿
albuminuric,アルブミン酸
albuquerque,アルバカーキ
albuterol,アルブテロール
alca,アルカ
alcaeus,アルカイウス
alcaic,アルカイック
alcaid,アルカイド
alcalde,アルカルデ
alcazar,アルカサル
alcea,アルセア
alcedinidae,アルセディニ科
alcedo,アルセド
alcelaphus,アルケラファス
alces,アルセス
alchemic,錬金術的な
alchemist,錬金術師
alchemistic,錬金術的な
alchemy,錬金術
alcidae,アルシ科
alcohol,アルコール
alcoholic,アルコール依存症
alcoholism,アルコール依存症
alcoran,アルコラン
alcove,アルコーブ
alcyonacea,アルキオナセア
alcyonaria,アルシオナリア
aldebaran,アルデバラン
aldehyde,アルデヒド
aldehydic,アルデヒド系
alder,ハンノキ
alderfly,ハンノキ
alderman,市会議員
aldermanic,老人的な
aldol,アルドール
aldose,アルドース
aldosterone,アルドステロン
aldosteronism,アルドステロン症
aldrovanda,アルドヴァンダ
ale,エール
alea,アレア
aleatory,偶然の
alectis,アレクティス
alecto,アレクト
alectoria,アレクトリア
alectoris,アレクトリス
alectoromancy,アレクトロマンス
alectryomancy,選挙術
alectura,アレクトゥーラ
alee,アレ
alehouse,エールハウス
alembic,アレンビック
alentours,アレントゥール
aleph,アレフ
alepisaurus,アレピサウルス
aleppo,アレッポ
alert,警告
alertly,注意深く
alertness,警戒心
alerts,アラート
aletris,アレトリス
aleurites,アリューライト
aleuromancy,アリューマンシー
aleurone,アリューロン
aleuronic,アリューロン
aleut,アレウト
alewife,エールワイフ
alex,アレックス
alexander,アレクサンダー
alexandria,アレクサンドリア
alexandrian,アレクサンドリア人
alexandrine,アレキサンドリン
alexandrite,アレキサンドライト
alexic,アレクシック
alexipharmic,アレクシファルミック
alexiteric,アレクシテリック
aleyrodes,アレイローズ
aleyrodidae,アレロディ科
alfalfa,アルファルファ
alfardaws,アルファルダウ
alfilaria,アルフィラリア
alfresco,屋外
alga,藻類
algal,藻類
algarroba,アルガロバ
algebra,代数
algebraic,代数的な
algebraically,代数的に
algebraist,代数学者
algebraize,代数化する
algeria,アルジェリア
algerian,アルジェリア人
algeripithecus,アルゲリピテクス
alget,代償
algid,アルギッド
algiers,アルジェ
algin,アルギン
algoid,アルゴイド
algol,アルゴル
algolagnic,失語症
algology,アルゴリズム学
algometer,アルゴリズム計
algometric,アルゴリズム的
algometry,アルゴリズム
algonkian,アルゴンキア人
algonquian,アルゴンキン語
algophobia,アルゴフォビア
algophobic,アルゴフォビア
algorism,アルゴリズム
algorithm,アルゴリズム
algorithmic,アルゴリズム的な
alguazil,アルグアジル
alia,別名
alias,エイリアス
alibi,アリバイ
alid,硬い
alien,エイリアン
alienable,疎外可能な
alienage,異邦人
alienate,疎外する
alienated,疎外された
alienating,疎外する
alienation,疎外
aliene,外国人
alieni,エイリアン
alienism,外国人主義
alienist,外国人主義者
alieno,アリエノ
alienum,エイリアン
alight,降りる
align,整列する
aligned,整列した
aligning,整列する
alignment,アライメント
aliis,エイリス
alike,似たような
aliment,食糧
alimentary,栄養的な
alimentation,栄養補給
alimentative,栄養補給的な
alimony,慰謝料
aliner,ライナー
aliped,なくなった
aliphatic,脂肪族
aliquant,アリカント
aliquid,液体
aliquis,アリキス
aliquot,アリコート
alisma,アリスマ
alismataceae,アリスマ科
alismatidae,アリスマチ科
